start_date,start_station_code,end_date,end_station_code,duration_sec,is_member
2018-04-28 00:26,6216,2018-04-28 00:29,6223,179,1
2018-04-28 00:26,6916,2018-04-28 00:37,6129,688,1
2018-04-28 00:26,6152,2018-04-28 00:34,7032,522,1
2018-04-28 00:26,6916,2018-04-28 00:37,6129,680,1
2018-04-28 00:26,6405,2018-04-28 00:39,6097,757,1
2018-04-28 00:26,6141,2018-04-28 00:31,6134,283,1
2018-04-28 00:27,6271,2018-04-28 00:37,6307,602,1
2018-04-28 00:27,6271,2018-04-28 00:42,6503,881,1
2018-04-28 00:27,7036,2018-04-28 00:50,6087,1360,1
2018-04-28 00:27,6184,2018-04-28 01:11,6344,2651,1
2018-04-28 00:27,7036,2018-04-28 00:50,6087,1333,1
2018-04-28 00:27,6099,2018-04-28 00:38,6079,629,1
2018-04-28 00:28,7041,2018-04-28 00:33,6372,327,1
2018-04-28 00:28,6735,2018-04-28 00:40,6370,739,1
2018-04-28 00:28,6099,2018-04-28 00:29,6099,73,1
2018-04-28 00:28,7041,2018-04-28 00:33,6372,313,1
2018-04-28 00:28,6233,2018-04-28 01:03,6216,2088,1
2018-04-28 00:28,6184,2018-04-28 00:59,6726,1838,0
2018-04-28 00:28,6178,2018-04-28 00:38,6020,549,0
2018-04-28 00:29,6062,2018-04-28 00:34,7047,355,1
2018-04-28 00:28,6196,2018-04-28 00:41,6141,739,1
2018-04-28 00:29,6196,2018-04-28 00:34,6196,324,0
2018-04-28 00:29,6224,2018-04-28 00:35,6207,396,1
2018-04-28 00:29,6099,2018-04-28 00:38,6079,531,1
2018-04-28 00:29,6361,2018-04-28 00:54,6372,1507,1
2018-04-28 00:29,7081,2018-04-28 00:44,6377,863,1
2018-04-28 00:30,6418,2018-04-28 00:35,6433,318,1
2018-04-28 00:30,6234,2018-04-28 00:36,6221,347,0
2018-04-28 00:30,6307,2018-04-28 00:39,6137,553,1
2018-04-28 00:30,6307,2018-04-28 00:39,6137,554,1
2018-04-28 00:30,6903,2018-04-28 00:36,6225,342,1
2018-04-28 00:30,6157,2018-04-28 00:39,6174,530,1
2018-04-28 00:30,6233,2018-04-28 00:38,6222,443,0
2018-04-28 00:30,6133,2018-04-28 00:37,6124,406,0
2018-04-28 00:30,6248,2018-04-28 00:41,6073,630,0
2018-04-28 00:31,6154,2018-04-28 00:36,6129,315,1
2018-04-28 00:31,6313,2018-04-28 00:46,6405,921,1
2018-04-28 00:31,7072,2018-04-28 00:46,6391,910,0
2018-04-28 00:31,6313,2018-04-28 00:46,6405,909,1
2018-04-28 00:31,6710,2018-04-28 01:07,6916,2193,1
2018-04-28 00:31,6012,2018-04-28 00:32,6359,86,1
2018-04-28 00:31,7058,2018-04-28 00:32,7057,64,1
2018-04-28 00:31,6388,2018-04-28 00:39,6269,440,1
2018-04-28 00:31,6425,2018-04-28 00:45,6426,822,1
2018-04-28 00:32,6336,2018-04-28 00:38,7065,386,1
2018-04-28 00:32,6425,2018-04-28 00:45,6426,803,1
2018-04-28 00:32,6114,2018-04-28 00:38,6122,368,1
2018-04-28 00:32,6190,2018-04-28 00:53,7024,1290,0
2018-04-28 00:33,6190,2018-04-28 00:40,6161,451,1
2018-04-28 00:33,6190,2018-04-28 00:53,7024,1236,0
2018-04-28 00:33,6416,2018-04-28 00:56,7038,1416,1
2018-04-28 00:33,6371,2018-04-28 00:39,6167,360,1
2018-04-28 00:33,6190,2018-04-28 00:40,6161,445,1
2018-04-28 00:33,6059,2018-04-28 00:50,6176,1006,1
2018-04-28 00:33,6063,2018-04-28 00:48,6113,881,0
2018-04-28 00:33,6059,2018-04-28 00:52,6926,1124,1
2018-04-28 00:33,6063,2018-04-28 00:48,6113,873,0
2018-04-28 00:33,6063,2018-04-28 00:48,6113,868,0
2018-04-28 00:33,6063,2018-04-28 00:48,6113,853,0
2018-04-28 00:33,6178,2018-04-28 00:38,6903,294,1
2018-04-28 00:34,6217,2018-04-28 00:49,7047,902,1
2018-04-28 00:34,6008,2018-04-28 00:49,6002,924,1
2018-04-28 00:34,10002,2018-04-28 00:39,6732,261,1
2018-04-28 00:34,6414,2018-04-28 00:40,6405,339,1
2018-04-28 00:35,6169,2018-04-28 00:52,6203,1039,0
2018-04-28 00:35,6368,2018-04-28 00:43,6383,486,1
2018-04-28 00:35,6169,2018-04-28 00:52,6203,1045,0
2018-04-28 00:35,6423,2018-04-28 00:57,6181,1327,1
2018-04-28 00:35,6188,2018-04-28 00:37,6184,134,1
2018-04-28 00:35,6200,2018-04-28 00:58,7042,1358,0
2018-04-28 00:35,6414,2018-04-28 01:09,6425,2048,1
2018-04-28 00:35,7036,2018-04-28 00:50,6221,899,1
2018-04-28 00:35,6100,2018-04-28 00:41,6404,334,1
2018-04-28 00:36,6220,2018-04-28 01:08,6189,1925,1
2018-04-28 00:36,6276,2018-04-28 00:40,6249,225,1
2018-04-28 00:36,6414,2018-04-28 01:10,6425,2020,1
2018-04-28 00:36,6385,2018-04-28 00:44,6195,467,1
2018-04-28 00:36,6406,2018-04-28 00:44,7081,463,1
2018-04-28 00:36,6221,2018-04-28 00:41,6215,265,0
2018-04-28 00:36,6178,2018-04-28 00:43,6118,389,1
2018-04-28 00:37,6345,2018-04-28 00:51,6905,866,1
2018-04-28 00:38,6255,2018-04-28 00:51,6752,831,1
2018-04-28 00:39,6126,2018-04-28 00:46,6122,387,1
2018-04-28 00:39,6190,2018-04-28 00:50,6231,667,1
2018-04-28 00:39,6220,2018-04-28 01:07,6189,1666,0
2018-04-28 00:39,6087,2018-04-28 00:52,6427,722,1
2018-04-28 00:40,6013,2018-04-28 00:43,6003,209,0
2018-04-28 00:40,6024,2018-04-28 00:49,6902,558,0
2018-04-28 00:40,6070,2018-04-28 00:45,6205,289,1
2018-04-28 00:40,6187,2018-04-28 00:48,6385,485,1
2018-04-28 00:40,6925,2018-04-28 00:45,6358,281,1
2018-04-28 00:40,6184,2018-04-28 00:46,6237,354,1
2018-04-28 00:40,6391,2018-04-28 01:09,6338,1716,0
2018-04-28 00:40,6228,2018-04-28 00:48,6503,455,1
2018-04-28 00:40,6024,2018-04-28 00:49,6902,531,0
2018-04-28 00:40,6198,2018-04-28 00:47,6184,428,1
2018-04-28 00:40,6177,2018-04-28 00:53,6213,765,1
2018-04-28 00:40,6196,2018-04-28 00:55,6258,860,1
2018-04-28 00:41,6157,2018-04-28 00:53,6220,738,1
2018-04-28 00:41,6907,2018-04-28 00:46,6915,341,1
2018-04-28 00:41,6423,2018-04-28 00:57,6245,987,1
2018-04-28 00:41,6401,2018-04-28 01:05,6902,1433,1
2018-04-28 00:41,6064,2018-04-28 00:55,6080,854,1
2018-04-28 00:42,6213,2018-04-28 00:44,6179,116,1
2018-04-28 00:42,6098,2018-04-28 00:47,7081,320,1
2018-04-28 00:42,6211,2018-04-28 01:01,6328,1142,0
2018-04-28 00:42,6266,2018-04-28 01:05,6173,1366,1
2018-04-28 00:42,6190,2018-04-28 00:49,6161,408,1
2018-04-28 00:43,6208,2018-04-28 00:51,6903,499,0
2018-04-28 00:43,6219,2018-04-28 00:52,7032,569,1
2018-04-28 00:43,6398,2018-04-28 00:47,6396,244,1
2018-04-28 00:43,6398,2018-04-28 00:59,6739,996,1
2018-04-28 00:43,6208,2018-04-28 00:51,6903,483,0
2018-04-28 00:43,6913,2018-04-28 00:49,6267,394,1
2018-04-28 00:43,6736,2018-04-28 00:59,6737,960,0
2018-04-28 00:43,6190,2018-04-28 00:49,6161,367,1
2018-04-28 00:43,6219,2018-04-28 00:58,6197,882,1
2018-04-28 00:43,6243,2018-04-28 00:55,6163,693,1
2018-04-28 00:44,6902,2018-04-28 00:47,6729,213,1
2018-04-28 00:44,6236,2018-04-28 00:50,6089,403,1
2018-04-28 00:44,6327,2018-04-28 00:59,6167,895,1
2018-04-28 00:44,6213,2018-04-28 02:42,6753,7076,0
2018-04-28 00:44,6173,2018-04-28 01:15,7076,1858,0
2018-04-28 00:44,6193,2018-04-28 00:51,6248,448,1
2018-04-28 00:44,6138,2018-04-28 00:49,7072,273,1
2018-04-28 00:44,6087,2018-04-28 00:47,6159,154,1
2018-04-28 00:45,6098,2018-04-28 01:10,6209,1536,0
2018-04-28 00:45,6098,2018-04-28 01:09,6209,1475,0
2018-04-28 00:45,6098,2018-04-28 01:09,6209,1463,0
2018-04-28 00:45,6098,2018-04-28 01:10,6209,1524,0
2018-04-28 00:45,6173,2018-04-28 01:15,7076,1795,0
2018-04-28 00:45,6124,2018-04-28 00:48,6110,177,1
2018-04-28 00:45,6184,2018-04-28 01:26,6744,2446,1
2018-04-28 00:45,6099,2018-04-28 00:51,7067,373,1
2018-04-28 00:45,6099,2018-04-28 00:57,6174,724,1
2018-04-28 00:45,6184,2018-04-28 00:53,6199,468,0
2018-04-28 00:45,7053,2018-04-28 01:29,6196,2638,1
2018-04-28 00:45,6396,2018-04-28 00:52,6398,413,1
2018-04-28 00:45,6245,2018-04-28 00:50,6747,265,1
2018-04-28 00:45,6262,2018-04-28 00:49,7065,203,1
2018-04-28 00:45,6414,2018-04-28 00:55,6093,605,1
2018-04-28 00:45,6184,2018-04-28 00:50,6152,255,1
2018-04-28 00:46,7042,2018-04-28 01:01,6196,911,0
2018-04-28 00:46,6051,2018-04-28 01:01,6259,913,0
2018-04-28 00:46,6738,2018-04-28 01:19,6363,2023,1
2018-04-28 00:46,6157,2018-04-28 00:55,6131,527,1
2018-04-28 00:46,6076,2018-04-28 00:56,6391,600,1
2018-04-28 00:47,6119,2018-04-28 00:51,6114,256,0
2018-04-28 00:47,6154,2018-04-28 00:53,6134,329,1
2018-04-28 00:47,6064,2018-04-28 00:51,6107,244,1
2018-04-28 00:47,6738,2018-04-28 01:19,6363,1918,1
2018-04-28 00:48,6090,2018-04-28 00:57,6405,550,1
2018-04-28 00:48,6906,2018-04-28 00:54,6260,368,1
2018-04-28 00:48,6177,2018-04-28 01:03,6923,922,1
2018-04-28 00:48,6215,2018-04-28 00:54,6204,369,1
2018-04-28 00:48,6090,2018-04-28 00:57,6405,519,1
2018-04-28 00:49,7062,2018-04-28 01:17,6119,1684,1
2018-04-28 00:49,6910,2018-04-28 01:02,6169,790,1
2018-04-28 00:49,6250,2018-04-28 00:57,6275,469,1
2018-04-28 00:49,6211,2018-04-28 01:04,6163,869,1
2018-04-28 00:49,6426,2018-04-28 00:51,6309,114,1
2018-04-28 00:50,6091,2018-04-28 01:03,7058,804,1
2018-04-28 00:50,6426,2018-04-28 00:53,6706,216,0
2018-04-28 00:50,6389,2018-04-28 01:08,6154,1103,0
2018-04-28 00:50,6138,2018-04-28 00:58,6173,480,1
2018-04-28 00:50,6389,2018-04-28 01:11,6154,1274,0
2018-04-28 00:50,6120,2018-04-28 00:52,6126,133,1
2018-04-28 00:51,7004,2018-04-28 00:59,6422,509,1
2018-04-28 00:51,7004,2018-04-28 00:59,6422,499,1
2018-04-28 00:51,6181,2018-04-28 01:24,6420,1959,0
2018-04-28 00:51,6097,2018-04-28 00:56,6403,306,1
2018-04-28 00:51,6201,2018-04-28 01:07,7042,932,0
2018-04-28 00:52,6253,2018-04-28 00:57,6335,294,1
2018-04-28 00:52,6114,2018-04-28 00:57,6108,316,1
2018-04-28 00:52,6738,2018-04-28 01:20,6341,1701,0
2018-04-28 00:52,6421,2018-04-28 01:03,6915,640,1
2018-04-28 00:52,6426,2018-04-28 00:58,7056,373,1
2018-04-28 00:52,6738,2018-04-28 01:20,6341,1691,1
2018-04-28 00:52,7062,2018-04-28 01:18,6114,1543,0
2018-04-28 00:53,6218,2018-04-28 00:54,6079,117,1
2018-04-28 00:53,6334,2018-04-28 00:57,6335,245,1
2018-04-28 00:53,6328,2018-04-28 01:04,6168,696,1
2018-04-28 00:53,6081,2018-04-28 00:58,6065,314,0
2018-04-28 00:53,6093,2018-04-28 01:10,6220,1004,1
2018-04-28 00:53,6411,2018-04-28 01:02,6733,549,1
2018-04-28 00:53,6178,2018-04-28 01:14,6076,1238,1
2018-04-28 00:53,6411,2018-04-28 01:02,6733,527,1
2018-04-28 00:54,6184,2018-04-28 00:57,6154,224,1
2018-04-28 00:54,6201,2018-04-28 01:07,6233,774,0
2018-04-28 00:54,6057,2018-04-28 00:56,6085,102,1
2018-04-28 00:54,6064,2018-04-28 01:04,6205,586,1
2018-04-28 00:55,6067,2018-04-28 01:20,6425,1503,1
2018-04-28 00:55,6181,2018-04-28 01:01,6217,366,1
2018-04-28 00:56,6258,2018-04-28 01:11,6728,932,1
2018-04-28 00:56,6216,2018-04-28 00:58,6222,118,1
2018-04-28 00:56,7031,2018-04-28 01:03,6223,415,0
2018-04-28 00:56,6394,2018-04-28 01:17,6146,1268,1
2018-04-28 00:56,6107,2018-04-28 01:13,6211,984,1
2018-04-28 00:56,6427,2018-04-28 01:08,6414,711,0
2018-04-28 00:57,6078,2018-04-28 01:09,6179,766,1
2018-04-28 00:57,6406,2018-04-28 01:06,7054,570,1
2018-04-28 00:57,6021,2018-04-28 01:01,7074,255,1
2018-04-28 00:57,6027,2018-04-28 01:01,6203,234,1
2018-04-28 00:57,6177,2018-04-28 01:02,6140,273,1
2018-04-28 00:57,6263,2018-04-28 01:04,6416,430,1
2018-04-28 00:57,6064,2018-04-28 01:04,6205,412,0
2018-04-28 00:57,6021,2018-04-28 01:03,6079,342,1
2018-04-28 00:58,6059,2018-04-28 01:07,6359,563,0
2018-04-28 00:58,6281,2018-04-28 01:18,6128,1216,1
2018-04-28 00:58,6229,2018-04-28 01:05,6156,408,1
2018-04-28 00:58,6730,2018-04-28 01:26,6915,1669,0
2018-04-28 00:58,6059,2018-04-28 01:07,6359,546,0
2018-04-28 00:58,6229,2018-04-28 01:05,6156,391,1
2018-04-28 00:58,6727,2018-04-28 01:11,6029,781,1
2018-04-28 00:58,6405,2018-04-28 01:08,7070,588,1
2018-04-28 00:58,6249,2018-04-28 01:15,6411,990,0
2018-04-28 00:59,6163,2018-04-28 01:12,6033,802,0
2018-04-28 00:59,7063,2018-04-28 01:04,6127,328,1
2018-04-28 00:59,7063,2018-04-28 01:04,6127,319,1
2018-04-28 00:59,6095,2018-04-28 01:04,6099,304,1
2018-04-28 00:59,6405,2018-04-28 01:04,6402,299,1
2018-04-28 00:59,6059,2018-04-28 01:07,6359,479,0
2018-04-28 00:59,7001,2018-04-28 01:08,7008,533,1
2018-04-28 01:00,6154,2018-04-28 01:16,6421,1008,1
2018-04-28 01:00,6154,2018-04-28 01:06,6119,366,1
2018-04-28 01:00,6092,2018-04-28 01:17,10002,996,1
